kernel,power_watts,execution_time_sec,energy_joules,edp,ed2p,energy_normalized,edp_normalized,ed2p_normalized,performance_per_watt,performance_per_watt_normalized
Baseline,20.491600000000005,12.4002,254.09993832000006,3150.890055155665,39071.666861941274,1.004310606890567,1.0045617432757992,1.0048129424598142,0.003935459436202824,0.9957078946881651
Strategy1,56.28207207207209,12.5303,705.231247684685,8836.759102863409,110727.24258660937,2.787372665429136,2.817321446921192,2.847592011547589,0.0014179746051852609,0.35876078301357767
Strategy2,26.140131578947354,13.0476,341.0659807894735,4450.092490948734,58063.0267849027,1.3480372503083042,1.418771392270985,1.4932170925292936,0.002931984004048942,0.7418192633558858
Strategy3,20.32053333333334,14.2836,290.2503699200001,4145.820183789313,59217.23717717303,1.1471924278764098,1.3217637804660352,1.522900124598871,0.0034453013798935858,0.8716933408034425
Strategy4,20.84605633802817,12.4139,258.78085877464787,3212.479702742601,39879.401781876375,1.0228115876215953,1.024197656514485,1.025585603746454,0.0038642734425378125,0.9776971752200808
Strategy5,21.48180555555555,12.3728,265.7900837777777,3288.5675485656875,40688.78856489354,1.0505150143255433,1.0484558621973754,1.0464007462870903,0.0037623676014793767,0.9519140482176018
Strategy6,20.890416666666667,12.3536,258.0718513333333,3188.1164226314663,39384.71503862008,1.0200092898391384,1.016430194396817,1.0128636575893168,0.0038748898604535143,0.9803832278407051
Strategy7,20.408749999999994,12.3971,253.00931462499992,3136.5817743375865,38884.51791464049,1.0,1.0,1.0,0.003952423654766068,1.0
Strategy8,20.831111111111106,12.4881,260.1409986666666,3248.666805449199,40569.67593313014,1.0281874367046009,1.035734770898898,1.043337505744289,0.003844069197571417,0.9725853130486175
Strategy9,20.612638888888892,12.3801,255.18653070833338,3159.234768822238,39111.64236149619,1.0086052803493044,1.007222191581291,1.0058409994269257,0.00391870212438036,0.9914681387090059
