technique,avg_energy,avg_edp,avg_power,avg_time,kernels_count
Memory Optimization,243.8879633888889,3009.7238009969233,19.763055555555557,12.3406,1
Input Tile Loading,249.13612726760562,3071.4498314059497,20.20830985915493,12.3284,1
Bank Conflict Avoidance,250.2059231466667,3096.848751970923,20.215066666666672,12.3772,1
Padded Indexing,250.2059231466667,3096.848751970923,20.215066666666672,12.3772,1
Direct Global Memory,251.69505585915496,3110.523008824195,20.36647887323944,12.3583,1
Optimized Tile Size,251.69505585915496,3110.523008824195,20.36647887323944,12.3583,1
Coalesced Access,251.72427741601462,3108.5279812670724,20.384289254042773,12.348866666666666,3
Global Memory Atomics,252.15862528,3120.6142830151684,20.375466666666668,12.3756,1
Per-block Local Histogram,253.07673166666663,3117.39918067,20.545277777777773,12.318,1
Efficient Reduction,253.07673166666663,3117.39918067,20.545277777777773,12.318,1
Optimized Memory,253.07673166666663,3117.39918067,20.545277777777773,12.318,1
Linear Indexing,259.58981299999994,3205.3371339800988,21.023333333333326,12.3477,1
Optimized Shared Memory,259.58981299999994,3205.3371339800988,21.023333333333326,12.3477,1
Improved Memory Layout,261.703143,3231.3533878782005,21.195,12.3474,1
Input Tiling,261.703143,3231.3533878782005,21.195,12.3474,1
Local Histogram,261.703143,3231.3533878782005,21.195,12.3474,1
Shared Memory,266.5883415318714,3291.4299969358794,21.592283696019965,12.346825,4
Global Atomics,323.1233523243244,3987.6976033697206,26.182702702702702,12.3411,1
Private Histograms,691.9359505,8524.44332937485,56.165,12.3197,1
Final Reduction,691.9359505,8524.44332937485,56.165,12.3197,1
