timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/03/20 03:15:05.538, 0 %, 0 %, 15.60 W, 47, 300 MHz, 405 MHz
2025/03/20 03:15:10.553, 0 %, 0 %, 15.59 W, 46, 300 MHz, 405 MHz
2025/03/20 03:15:15.562, 0 %, 0 %, 15.72 W, 46, 300 MHz, 405 MHz
2025/03/20 03:15:20.573, 0 %, 0 %, 15.56 W, 45, 300 MHz, 405 MHz
2025/03/20 03:15:25.584, 100 %, 6 %, 93.60 W, 51, 1935 MHz, 6801 MHz
2025/03/20 03:15:30.588, 100 %, 2 %, 108.46 W, 54, 1920 MHz, 6801 MHz
2025/03/20 03:15:35.593, 100 %, 2 %, 109.08 W, 54, 1920 MHz, 6801 MHz
2025/03/20 03:15:40.599, 100 %, 6 %, 94.16 W, 55, 1920 MHz, 6801 MHz
2025/03/20 03:15:45.603, 100 %, 6 %, 95.01 W, 55, 1920 MHz, 6801 MHz
2025/03/20 03:15:50.610, 95 %, 5 %, 94.38 W, 56, 1920 MHz, 6801 MHz
2025/03/20 03:15:55.614, 100 %, 6 %, 95.02 W, 56, 1920 MHz, 6801 MHz
