timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:07:53.282, 0 %, 0 %, 19.51 W, 51, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:07:58.297, 0 %, 0 %, 16.19 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:08:03.310, 0 %, 0 %, 16.03 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:08:08.322, 0 %, 0 %, 17.05 W, 48, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:08:13.331, 100 %, 6 %, 93.71 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:08:18.336, 100 %, 2 %, 107.42 W, 56, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:08:23.340, 100 %, 2 %, 108.07 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:08:28.345, 97 %, 5 %, 93.83 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:08:33.350, 100 %, 6 %, 93.94 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:08:38.354, 95 %, 5 %, 93.66 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:08:43.360, 100 %, 6 %, 94.10 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
