Kernel,Model,Power (W),MAE (W),Error (%)
Baseline,Basic,20.70640625,8.797164508180563,41.36791911913828
Baseline,Dvfs,20.70640625,147.7662900022862,777.6770606997093
Baseline,Memory Aware,20.70640625,0.8340447224436467,4.618860423734901
Strategy1,Basic,56.96907216494845,35.01283237905079,50.2681352601845
Strategy1,Dvfs,56.96907216494845,165.52612228118554,556.8356886041427
Strategy1,Memory Aware,56.96907216494845,6.523823113894941,12.077974337505047
Strategy2,Basic,26.096666666666668,9.858541070487874,35.744188267906566
Strategy2,Dvfs,26.096666666666668,156.7001989564208,673.2118860777862
Strategy2,Memory Aware,26.096666666666668,6.125804367427169,19.132374381045974
Strategy3,Basic,19.989666666666665,7.741527540062323,37.94048745297881
Strategy3,Dvfs,19.989666666666665,152.80528000578522,815.520520293885
Strategy3,Memory Aware,19.989666666666665,1.5290449364342644,6.731719033123615
Strategy4,Basic,20.324126984126988,8.18671503053709,39.11216518253695
Strategy4,Dvfs,20.324126984126988,152.9671998047877,810.4486136529702
Strategy4,Memory Aware,20.324126984126988,1.3896039766180925,7.523200879623991
Strategy5,Basic,21.13295081967213,8.614876538417175,39.081984236115176
Strategy5,Dvfs,21.13295081967213,153.38467454879105,794.0303966468383
Strategy5,Memory Aware,21.13295081967213,1.8510419467100343,8.39746298387834
Strategy6,Basic,20.979666666666667,8.646197588223272,39.80943070998711
Strategy6,Dvfs,20.979666666666667,152.3683213275566,792.7858096577904
Strategy6,Memory Aware,20.979666666666667,1.3177166619492957,6.076894139439139
Strategy7,Basic,20.74983333333333,8.528934572055842,40.31948392503777
Strategy7,Dvfs,20.74983333333333,151.84867086887007,795.1632449063728
Strategy7,Memory Aware,20.74983333333333,1.1491836059615645,5.6968139565807645
Strategy8,Basic,20.506666666666664,7.985762324722693,38.073531302947366
Strategy8,Dvfs,20.506666666666664,150.28444108852952,788.7902339947987
Strategy8,Memory Aware,20.506666666666664,1.4520091105363113,6.196320552246588
Strategy9,Basic,20.3705,8.491366454062138,40.45557838296055
Strategy9,Dvfs,20.3705,151.68705824342334,804.3099105657742
Strategy9,Memory Aware,20.3705,0.9900285432046115,5.645814415341279
